K-NodeAfter-6,Assert.Throws() Failure
re00976,PRSC Error:
K-SeqExprCastable-13a,Expected executing the XPath "'string' castable as item()" to resolve to one of the expected results  but got Xunit.Sdk.ThrowsException: Assert.Throws() Failure
re00403,PRSC Error:
cbcl-codepoints-to-string-021,Expected executing the XPath "let $y := 65536*65536 return for $x in $y to $y+10 return codepoints-to-string(65 to $x)" to resolve to one of the expected results  but got Xunit.Sdk.ThrowsException: Assert.Throws() Failure
K-GenCompNE-41,Assert.Throws() Failure
orderbywithout-35,PRSC Error:
re00304,PRSC Error:
fn-function-lookup-759,Expected XPath exists(function-lookup(fn:QName('http://www.w3.org/2005/xpath-functions'  'load-xquery-module')  1)) to resolve to true
fo-test-math-log-005,PRSC Error:
orderbywithout-16,PRSC Error:
K-GenCompNE-39,Assert.Throws() Failure
generalexpression153,PRSC Error:
outer-012,PRSC Error:
K-SeqExprCast-121,Assert.Throws() Failure
fn-id-22,Assert.Equal() Failure
Constr-namespace-5,Assert.Throws() Failure
math-pow-031,PRSC Error:
cbcl-divide-yearMonthDuration-by-yearMonthDuration-001,Assert.Throws() Failure
K-ForExprWithout-23,PRSC Error:
XPTY0004_38,Assert.Throws() Failure
fo-test-map-for-each-003,PRSC Error:
Axes034-1,PRSC Error:
CastAs640,Assert.Throws() Failure
casthcds28,PRSC Error:
FOCA0005_4,Assert.Throws() Failure
K2-NumericMod-15,No suitable operator function could be found for (XsNumeric  XsNumeric  ModOp)
Constr-compelem-name-1,PRSC Error:
functx-fn-lower-case-3,The function lower-case with arity 1 is not registered.
fold-left-104,PRSC Error:
LetExpr010,Assert.Throws() Failure
fn-unordered-mix-args-009,Skipped test  it was a assert-permutation
path012,PRSC Error:
fn-numberdbl1args-3,Expected XPath fn:number(xs:double("1.7976931348623157E308")) to resolve to 1.7976931348623157E308
cbcl-castable-language-003,PRSC Error:
fn-string-length-7,PRSC Error:
cbcl-cast-date-004,Expected executing the XPath ""18446744073709551616-QQ-15" cast as xs:date" to resolve to one of the expected results  but got Xunit.Sdk.ThrowsException: Assert.Throws() Failure
fn-boolean-mixed-args-019,Value was either too large or too small for a Decimal.
fo-test-fn-substring-008,The function fn:substring with arity 3 is not registered.
op-subtract-yearMonthDurations-13,Type casting to XsYearMonthDuration has not been implemented yet.
K-SeqExprCast-707,PRSC Error:
K2-SeqIDREFFunc-3,Assert.Throws() Failure
op-qname-equal-11,PerformValueCompare: Handle QName
K2-NodeNameFunc-2,Assert.Throws() Failure
